recipe_id,name,name_ar,category,cuisine,difficulty,dietary_goal,meal_occasion,prep_time_min,cook_time_min,minutes,n_steps,n_ingredients,servings,calories,protein_g,carbohydrates_g,fat_g,saturated_fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_c_mg,calcium_mg,iron_mg,is_vegan,is_vegetarian,allergens,health_score,protein_density,glycemic_index_level,calorie_category,macro_balance_label,bmi_suitability,budget_level,avg_rating,review_count
100000,Grilled Chicken Breast,صدر دجاج مشوي,Main Course,Mediterranean,Easy,High Protein / Weight Loss,Dinner,8.0,19.0,27,7,7,6,323,34.4,3.8,13.2,4.4,0.5,1.3,469.0,98.0,,27.0,1.9,0,0,None,46.8,10.65,Low,Low,High Protein,Overweight,Low,5.0,
100001,Egg White Omelette,عجة بياض البيض,Breakfast,International,Very Easy,High Protein / Low Cal,Breakfast,6.0,6.0,12,4,7,4,185,23.4,3.6,6.4,,1.1,1.9,260.0,10.0,,64.0,1.5,0,1,Eggs,53.1,12.65,Low,Very Low,High Protein,Normal,Low,4.33,3.0
100002,Tuna Salad Bowl,بول سلطة التونة,Salad,Mediterranean,Very Easy,Weight Loss,Lunch,11.0,0.0,11,3,7,1,166,26.8,8.2,7.5,2.9,2.8,3.9,453.0,39.0,,36.0,1.9,0,0,Seafood,57.0,16.14,Low,Very Low,High Protein,Overweight,Low,3.0,2.0
100003,Protein Pancakes,بانكيك البروتين,Breakfast,American,Very Easy,Muscle Gain,Breakfast,5.0,11.0,16,5,7,2,330,28.0,29.3,7.5,3.0,2.4,7.2,292.0,184.0,1.7,202.0,2.0,0,1,Dairy|Eggs|Gluten,51.2,8.48,Medium,Low,High Protein,Underweight,Low,5.0,2.0
100004,Greek Yogurt Parfait,بارفيه الزبادي اليوناني,Snack,International,Very Easy,Healthy Snack,Snack,4.0,0.0,4,4,6,4,324,21.5,41.2,6.9,2.6,3.2,18.0,97.0,15.0,12.5,259.0,1.3,0,1,Dairy,50.3,6.64,High,Low,Mixed,Normal,Low,3.43,7.0
100005,Chicken Vegetable Stir Fry,دجاج مقلي بالخضار,Main Course,Asian,Easy,Balanced,Dinner,17.0,12.0,29,9,9,2,391,34.2,28.5,11.9,,3.8,6.9,770.0,81.0,41.3,54.0,2.1,0,0,Nuts|Soy,49.5,8.75,Medium,Low,High Protein,Normal,Medium,4.43,7.0
100006,Baked Salmon with Vegetables,سالمون مشوي بالخضار,Main Course,Western,Easy,Heart Health,Dinner,8.0,18.0,26,7,9,2,479,42.1,14.0,20.3,8.4,,5.7,381.0,95.0,33.8,48.0,2.9,0,0,Seafood,48.8,8.79,Low,Moderate,High Protein,Normal,Medium,4.83,6.0
100007,Turkey Lettuce Wraps,لفائف الخس بالديك الرومي,Light Meal,Asian,Easy,Keto / Low Carb,Dinner,12.0,8.0,20,6,8,2,208,28.0,8.7,10.1,4.0,2.0,2.5,528.0,78.0,14.5,32.0,2.0,0,0,Dairy|Nuts|Soy,51.0,13.46,Low,Low,High Protein,Overweight,Low,4.33,3.0
100008,Boiled Eggs with Avocado,بيض مسلوق مع أفوكادو,Breakfast,International,Very Easy,Keto,Breakfast,2.0,7.0,9,4,6,2,340,15.7,9.3,23.4,7.4,7.5,0.8,287.0,395.0,8.2,44.0,1.7,0,1,Eggs,55.0,4.62,Low,Low,Mixed,Overweight,Low,4.6,5.0
100009,Shrimp Stir Fry,روبيان مقلي,Main Course,Asian,Easy,High Protein / Low Cal,Lunch,10.0,9.0,19,9,9,1,271,31.9,18.1,9.4,3.6,3.5,5.2,563.0,209.0,22.9,78.0,3.7,0,0,Nuts|Soy|Seafood,54.2,11.77,Low,Low,High Protein,Normal,Medium,,6.0
100010,Quinoa Buddha Bowl,بودا بول الكينوا,Main Course,International,Medium,Vegan / Balanced,Dinner,13.0,17.0,30,8,9,2,408,17.4,59.0,13.3,5.6,7.4,6.9,332.0,0.0,62.4,137.0,5.1,1,1,None,60.7,4.26,High,Moderate,High Carb,Normal,Medium,5.0,1.0
100011,Lentil Soup,شوربة العدس,Soup,Middle Eastern,Easy,High Fiber / Budget,Lunch,13.0,35.0,48,12,11,1,272,17.9,49.4,4.3,1.7,10.4,4.0,561.0,0.0,,,5.6,1,1,None,63.5,6.58,High,Low,High Carb,Normal,Medium,3.33,3.0
100012,Veggie Omelette,عجة الخضار,Breakfast,International,Very Easy,Balanced,Breakfast,4.0,5.0,9,4,8,4,208,17.9,6.5,16.1,,1.5,3.0,420.0,381.0,16.3,79.0,,0,1,Eggs,46.5,8.61,Low,Low,High Protein,Normal,Low,3.71,7.0
100013,Hummus with Vegetables,حمص مع الخضار,Snack,Middle Eastern,Very Easy,Healthy Snack,Snack,9.0,0.0,9,7,9,1,237,8.5,23.0,9.5,4.1,5.7,3.2,291.0,0.0,20.7,82.0,3.0,1,1,None,56.9,3.59,Medium,Low,Mixed,Normal,Medium,,6.0
100014,Spinach Lentil Dal,عدس بالسبانخ,Main Course,Indian,Easy,High Iron / Vegan,Dinner,11.0,18.0,29,7,10,4,356,17.5,46.6,6.4,2.4,15.1,4.2,481.0,0.0,25.3,122.0,,0,1,Dairy|Nuts,63.9,4.92,Medium,Low,High Carb,Normal,Medium,4.0,5.0
101928,Caprese Salad,سلطة كابريزي,Salad,Italian,Very Easy,Light / Healthy,Lunch,5.0,0.0,5,3,7,2,200,12.3,5.7,16.0,4.4,0.6,4.6,334.0,36.0,19.5,265.0,0.8,1,1,None,47.0,6.15,Low,Low,Mixed,Normal,Low,4.25,4.0
100016,Overnight Oats,شوفان بالليل,Breakfast,International,Very Easy,Sustained Energy,Breakfast,6.0,0.0,6,4,8,2,385,14.9,59.0,8.4,3.4,6.4,16.6,168.0,5.0,8.2,278.0,3.4,0,1,Dairy|Gluten|Nuts,55.0,3.87,High,Low,High Carb,Normal,Low,3.2,5.0
100017,Avocado Toast with Egg,توست الأفوكادو مع بيض,Breakfast,International,Very Easy,Balanced,Breakfast,6.0,6.0,12,5,8,6,422,17.5,31.9,23.7,9.8,6.5,2.2,,164.0,13.8,66.0,2.8,0,1,Eggs|Gluten,48.7,4.15,Medium,Moderate,Mixed,Normal,Low,,4.0
100018,Black Bean Tacos,تاكو الفول الأسود,Main Course,Mexican,Easy,Vegan / Budget,Lunch,7.0,12.0,19,8,10,2,363,17.0,60.2,9.4,3.4,14.9,3.8,551.0,0.0,14.6,134.0,4.6,1,1,None,59.9,4.68,High,Low,High Carb,Normal,Medium,4.5,4.0
100019,Mushroom Risotto,ريزوتو الفطر,Main Course,Italian,Medium,Comfort Food,Dinner,12.0,,40,14,10,4,414,14.3,65.9,14.8,5.7,,4.8,513.0,23.0,4.1,85.0,3.2,0,1,Dairy,44.3,3.45,High,Moderate,High Carb,Normal,Medium,4.12,8.0
100020,Chicken Vegetable Soup,شوربة الدجاج بالخضار,Soup,International,Easy,Immunity / Recovery,Lunch,15.0,39.0,54,11,11,2,255,30.5,23.9,7.2,2.1,4.3,4.2,,64.0,32.0,53.0,2.7,0,0,None,57.5,11.96,Medium,Low,High Protein,Normal,Medium,2.0,1.0
100021,Tomato Basil Soup,شوربة الطماطم والريحان,Soup,Italian,Easy,Light / Vegan,Lunch,10.0,28.0,38,7,9,2,175,5.3,26.9,6.6,2.9,4.5,14.6,454.0,0.0,32.0,62.0,1.8,0,1,Dairy,49.0,3.03,Medium,Very Low,High Carb,Normal,Medium,4.5,4.0
100022,Minestrone Soup,شوربة مينستروني,Soup,Italian,Easy,High Fiber / Balanced,Lunch,11.0,28.0,39,11,10,1,305,11.3,39.5,6.3,2.5,8.1,5.9,641.0,5.0,26.6,,3.8,1,1,Gluten,59.0,3.7,Medium,Low,High Carb,Normal,Medium,4.4,5.0
100023,Beef Stir Fry,لحم مقلي,Main Course,Asian,Easy,Muscle Gain,Dinner,12.0,12.0,24,9,10,2,455,34.0,27.6,18.7,6.7,3.5,5.1,878.0,93.0,16.3,45.0,4.4,0,0,Nuts|Soy,43.6,7.47,Medium,Moderate,High Protein,Underweight,Medium,1.0,1.0
